"['6/17/06', '0.015997', '0', '0.02345', '0.0095908', '0.0027368', '0.00063364', '0.006455', '0.054166', '0.36261', '0.022776', '0', '0.18193', '0.30574', '0', '0', '0', '0.0043761', '0.0082889', '0.00020485', '0.0010478']"
"['6/17/06', '0.015997', '0', '0.02345', '0.0095908', '0.0027368', '0.00063364', '0.006455', '0.054166', '0.36261', '0.022776', '0', '0.18193', '0.30574', '0', '0', '0', '0.0043761', '0.0082889', '0.00020485', '0.0010478']"
"['6/21/06', '0.015999', '0', '0.023449', '0.0095906', '0.0027373', '0.00063385', '0.0064547', '0.054165', '0.3626', '0.022776', '0', '0.18193', '0.30574', '0', '0', '0', '0.0043762', '0.008289', '0.00020485', '0.0010479']"
"['6/25/06', '0.016', '0', '0.023449', '0.0095904', '0.0027377', '0.00063406', '0.0064545', '0.054164', '0.3626', '0.022775', '0', '0.18193', '0.30575', '0', '0', '0', '0.0043763', '0.008289', '0.00020485', '0.0010479']"
"['6/25/06', '0.016', '0', '0.023449', '0.0095904', '0.0027377', '0.00063406', '0.0064545', '0.054164', '0.3626', '0.022775', '0', '0.18193', '0.30575', '0', '0', '0', '0.0043763', '0.008289', '0.00020485', '0.0010479']"
"['6/26/06', '0.016001', '0', '0.023449', '0.0095904', '0.0027378', '0.00063411', '0.0064544', '0.054164', '0.36259', '0.022775', '0', '0.18193', '0.30575', '0', '0', '0', '0.0043763', '0.0082891', '0.00020485', '0.0010479']"
"['6/26/06', '0.016001', '0', '0.023449', '0.0095904', '0.0027378', '0.00063411', '0.0064544', '0.054164', '0.36259', '0.022775', '0', '0.18193', '0.30575', '0', '0', '0', '0.0043763', '0.0082891', '0.00020485', '0.0010479']"
"['6/30/06', '0.016003', '0', '0.023449', '0.0095902', '0.0027383', '0.00063432', '0.0064541', '0.054163', '0.36259', '0.022775', '0', '0.18193', '0.30575', '0', '0', '0', '0.0043764', '0.0082891', '0.00020485', '0.001048']"
"['7/2/06', '0.016003', '0', '0.023449', '0.0095901', '0.0027385', '0.00063443', '0.006454', '0.054163', '0.36259', '0.022775', '0', '0.18193', '0.30576', '0', '0', '0', '0.0043764', '0.0082891', '0.00020485', '0.001048']"
"['7/3/06', '0.016004', '0', '0.023449', '0.0095901', '0.0027386', '0.00063448', '0.0064539', '0.054163', '0.36258', '0.022775', '0', '0.18193', '0.30576', '0', '0', '0', '0.0043765', '0.0082892', '0.00020485', '0.0010481']"
"['7/4/06', '0.016004', '0', '0.023449', '0.00959', '0.0027387', '0.00063453', '0.0064539', '0.054162', '0.36258', '0.022775', '0', '0.18193', '0.30576', '0', '0', '0', '0.0043765', '0.0082892', '0.00020485', '0.0010481']"
"['7/10/06', '0.016007', '0', '0.023448', '0.0095898', '0.0027393', '0.00063485', '0.0064535', '0.054161', '0.36258', '0.022775', '0', '0.18193', '0.30576', '0', '0', '0', '0.0043766', '0.0082893', '0.00020485', '0.0010482']"
"['7/12/06', '0.016008', '0', '0.023448', '0.0095897', '0.0027396', '0.00063495', '0.0064533', '0.054161', '0.36257', '0.022775', '0', '0.18193', '0.30577', '0', '0', '0', '0.0043767', '0.0082893', '0.00020485', '0.0010482']"
"['7/20/06', '0.016012', '0', '0.023448', '0.0095893', '0.0027404', '0.00063537', '0.0064528', '0.054159', '0.36256', '0.022774', '0', '0.18193', '0.30577', '0', '0', '0', '0.0043769', '0.0082894', '0.00020485', '0.0010484']"
"['7/21/06', '0.016012', '0', '0.023448', '0.0095893', '0.0027405', '0.00063543', '0.0064527', '0.054159', '0.36256', '0.022774', '0', '0.18193', '0.30578', '0', '0', '0', '0.0043769', '0.0082894', '0.00020485', '0.0010484']"
"['8/1/06', '0.016017', '0', '0.023447', '0.0095888', '0.0027417', '0.000636', '0.006452', '0.054156', '0.36254', '0.022774', '0', '0.18194', '0.30579', '0', '0', '0', '0.0043772', '0.0082896', '0.00020485', '0.0010486']"
"['8/3/06', '0.016018', '0', '0.023447', '0.0095887', '0.002742', '0.00063611', '0.0064519', '0.054156', '0.36254', '0.022774', '0', '0.18194', '0.30579', '0', '0', '0', '0.0043773', '0.0082897', '0.00020485', '0.0010486']"
"['8/17/06', '0.016024', '0', '0.023447', '0.0095881', '0.0027435', '0.00063684', '0.0064509', '0.054153', '0.36252', '0.022773', '0', '0.18194', '0.3058', '0', '0', '0', '0.0043776', '0.0082899', '0.00020485', '0.0010488']"
"['8/23/06', '0.016027', '0', '0.023446', '0.0095878', '0.0027441', '0.00063716', '0.0064505', '0.054151', '0.36251', '0.022773', '0', '0.18194', '0.30581', '0', '0', '0', '0.0043778', '0.00829', '0.00020485', '0.0010489']"
"['8/28/06', '0.016029', '0', '0.023446', '0.0095876', '0.0027447', '0.00063742', '0.0064502', '0.05415', '0.36251', '0.022773', '0', '0.18194', '0.30581', '0', '0', '0', '0.0043779', '0.00829', '0.00020485', '0.001049']"
"['8/31/06', '0.01603', '0', '0.023446', '0.0095875', '0.002745', '0.00063758', '0.00645', '0.05415', '0.3625', '0.022773', '0', '0.18194', '0.30582', '0', '0', '0', '0.004378', '0.0082901', '0.00020485', '0.0010491']"
"['9/1/06', '0.016031', '0', '0.023446', '0.0095875', '0.0027451', '0.00063763', '0.0064499', '0.054149', '0.3625', '0.022773', '0', '0.18194', '0.30582', '0', '0', '0', '0.004378', '0.0082901', '0.00020485', '0.0010491']"
