Date,Water,Ice,Open Land Development Density,Low Development Density,Medium Development Density, High Development Density,Barren,Forest-D,Forest-E,Forest-Mix,Scrub-Dwarf,Scrub,Grassland,Sedge,Lichens,Moss,Pasture,Cultivated,Wetlands-Woody,Wetlands-Emergent
1/1/06,0.050634,0,0.072409,0.068312,0.16236,0.049885,0.0032357,2.00E-05,0.016248,0.15437,0,0.07038,0.3222,0,0,0,0.0044265,0.01201,0.0017144,0.011804
1/2/06,0.050631,0,0.072408,0.068312,0.16236,0.049885,0.0032372,2.00E-05,0.016248,0.15437,0,0.07038,0.3222,0,0,0,0.0044264,0.01201,0.0017144,0.011805
1/3/06,0.050629,0,0.072408,0.068312,0.16236,0.049885,0.0032388,2.00E-05,0.016248,0.15437,0,0.07038,0.3222,0,0,0,0.0044264,0.01201,0.0017144,0.011806
1/4/06,0.050627,0,0.072407,0.068311,0.16236,0.049886,0.0032403,2.00E-05,0.016248,0.15437,0,0.07038,0.3222,0,0,0,0.0044264,0.01201,0.0017144,0.011806
1/5/06,0.050624,0,0.072407,0.068311,0.16236,0.049886,0.0032418,2.00E-05,0.016248,0.15437,0,0.07038,0.32219,0,0,0,0.0044264,0.01201,0.0017144,0.011807
1/6/06,0.050622,0,0.072406,0.068311,0.16236,0.049886,0.0032434,2.00E-05,0.016248,0.15437,0,0.07038,0.32219,0,0,0,0.0044264,0.01201,0.0017144,0.011808
1/7/06,0.050619,0,0.072406,0.068311,0.16237,0.049887,0.0032449,2.00E-05,0.016248,0.15437,0,0.07038,0.32219,0,0,0,0.0044264,0.01201,0.0017144,0.011808
1/8/06,0.050617,0,0.072405,0.06831,0.16237,0.049887,0.0032465,2.00E-05,0.016248,0.15437,0,0.07038,0.32219,0,0,0,0.0044264,0.01201,0.0017143,0.011809
1/9/06,0.050614,0,0.072405,0.06831,0.16237,0.049888,0.003248,2.00E-05,0.016248,0.15437,0,0.07038,0.32219,0,0,0,0.0044264,0.01201,0.0017143,0.01181
1/10/06,0.050612,0,0.072405,0.06831,0.16237,0.049888,0.0032495,2.00E-05,0.016248,0.15437,0,0.07038,0.32219,0,0,0,0.0044264,0.01201,0.0017143,0.011811
1/11/06,0.05061,0,0.072404,0.06831,0.16237,0.049888,0.0032511,2.00E-05,0.016248,0.15437,0,0.070381,0.32219,0,0,0,0.0044263,0.01201,0.0017143,0.011811
1/12/06,0.050607,0,0.072404,0.068309,0.16237,0.049889,0.0032526,2.00E-05,0.016248,0.15437,0,0.070381,0.32219,0,0,0,0.0044263,0.01201,0.0017143,0.011812
1/13/06,0.050605,0,0.072403,0.068309,0.16237,0.049889,0.0032541,2.00E-05,0.016248,0.15437,0,0.070381,0.32219,0,0,0,0.0044263,0.01201,0.0017143,0.011813
1/14/06,0.050602,0,0.072403,0.068309,0.16237,0.049889,0.0032557,2.00E-05,0.016248,0.15437,0,0.070381,0.32219,0,0,0,0.0044263,0.012009,0.0017143,0.011814
1/15/06,0.0506,0,0.072402,0.068308,0.16237,0.04989,0.0032572,2.00E-05,0.016248,0.15437,0,0.070381,0.32219,0,0,0,0.0044263,0.012009,0.0017143,0.011814
