"['2/14/06', '0.021427', '0', '0.031836', '0.014383', '0.010012', '0.0023003', '0.0045004', '0.044768', '0.36642', '0.0045367', '0', '0.067684', '0.16805', '0', '0', '0', '0.011227', '0.2313', '0.0069313', '0.014622']"
"['2/14/06', '0.021427', '0', '0.031836', '0.014383', '0.010012', '0.0023003', '0.0045004', '0.044768', '0.36642', '0.0045367', '0', '0.067684', '0.16805', '0', '0', '0', '0.011227', '0.2313', '0.0069313', '0.014622']"
"['2/16/06', '0.021427', '0', '0.031835', '0.014384', '0.010013', '0.0023004', '0.0045004', '0.044767', '0.36641', '0.0045367', '0', '0.067691', '0.16805', '0', '0', '0', '0.011227', '0.2313', '0.0069313', '0.014622']"
"['2/16/06', '0.021427', '0', '0.031835', '0.014384', '0.010013', '0.0023004', '0.0045004', '0.044767', '0.36641', '0.0045367', '0', '0.067691', '0.16805', '0', '0', '0', '0.011227', '0.2313', '0.0069313', '0.014622']"
"['5/2/06', '0.021418', '0', '0.031803', '0.014394', '0.010044', '0.0023028', '0.0044991', '0.04474', '0.36605', '0.0045336', '0', '0.067976', '0.16818', '0', '0', '0', '0.011223', '0.23128', '0.0069312', '0.014622']"
"['5/10/06', '0.021418', '0', '0.0318', '0.014395', '0.010047', '0.0023031', '0.0044989', '0.044738', '0.36601', '0.0045333', '0', '0.068006', '0.16819', '0', '0', '0', '0.011222', '0.23128', '0.0069312', '0.014622']"
"['5/15/06', '0.021417', '0', '0.031798', '0.014396', '0.01005', '0.0023033', '0.0044988', '0.044736', '0.36599', '0.0045331', '0', '0.068025', '0.1682', '0', '0', '0', '0.011222', '0.23128', '0.0069312', '0.014622']"
"['5/15/06', '0.021417', '0', '0.031798', '0.014396', '0.01005', '0.0023033', '0.0044988', '0.044736', '0.36599', '0.0045331', '0', '0.068025', '0.1682', '0', '0', '0', '0.011222', '0.23128', '0.0069312', '0.014622']"
"['5/25/06', '0.021416', '0', '0.031794', '0.014398', '0.010054', '0.0023036', '0.0044986', '0.044732', '0.36594', '0.0045327', '0', '0.068063', '0.16821', '0', '0', '0', '0.011222', '0.23128', '0.0069312', '0.014622']"
"['5/27/06', '0.021416', '0', '0.031793', '0.014398', '0.010055', '0.0023036', '0.0044986', '0.044731', '0.36593', '0.0045326', '0', '0.068071', '0.16822', '0', '0', '0', '0.011222', '0.23128', '0.0069312', '0.014622']"
"['5/29/06', '0.021415', '0', '0.031792', '0.014398', '0.010055', '0.0023037', '0.0044986', '0.044731', '0.36592', '0.0045325', '0', '0.068078', '0.16822', '0', '0', '0', '0.011221', '0.23128', '0.0069312', '0.014622']"
"['6/5/06', '0.021415', '0', '0.031789', '0.014399', '0.010058', '0.0023039', '0.0044984', '0.044728', '0.36589', '0.0045322', '0', '0.068105', '0.16823', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/5/06', '0.021415', '0', '0.031789', '0.014399', '0.010058', '0.0023039', '0.0044984', '0.044728', '0.36589', '0.0045322', '0', '0.068105', '0.16823', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/5/06', '0.021415', '0', '0.031789', '0.014399', '0.010058', '0.0023039', '0.0044984', '0.044728', '0.36589', '0.0045322', '0', '0.068105', '0.16823', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/6/06', '0.021415', '0', '0.031789', '0.014399', '0.010059', '0.002304', '0.0044984', '0.044728', '0.36588', '0.0045322', '0', '0.068109', '0.16823', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/6/06', '0.021415', '0', '0.031789', '0.014399', '0.010059', '0.002304', '0.0044984', '0.044728', '0.36588', '0.0045322', '0', '0.068109', '0.16823', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/12/06', '0.021414', '0', '0.031786', '0.0144', '0.010061', '0.0023042', '0.0044983', '0.044726', '0.36585', '0.004532', '0', '0.068131', '0.16824', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/12/06', '0.021414', '0', '0.031786', '0.0144', '0.010061', '0.0023042', '0.0044983', '0.044726', '0.36585', '0.004532', '0', '0.068131', '0.16824', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
"['6/13/06', '0.021414', '0', '0.031786', '0.0144', '0.010062', '0.0023042', '0.0044983', '0.044725', '0.36585', '0.0045319', '0', '0.068135', '0.16824', '0', '0', '0', '0.011221', '0.23128', '0.0069311', '0.014622']"
