County ,Fire Name ,Start Date,End Date,Fire Size in Acre,Type of Terrian,Cause,Structures Damaged/Destroyed,Fire Fatalities ,Civil Fatalities 
RIVERSIDE,MOCKINGBIRD,1/5/07,1/6/07,671,G,EQUIP. USE,0,0,0
SAN LUIS OBISPO,DIABLO,1/14/07,1/16/07,332,T,STRUCTURE EXPOS,1,0,0
RIVERSIDE,ALESSANDRO,3/4/07,3/4/07,680,G,UNDET.,0,0,0
ORANGE,241 FIRE,3/11/07,3/13/07,"2,036",G,HUMAN,3,0,0
RIVERSIDE,SIERRA,3/11/07,3/12/07,"1,044",G,ARSON,0,0,0
FRESNO,LITTLE 5,3/22/07,3/23/07,300,G,OTHER,0,0,0
SAN BERNARDINO,LAS FLORES,3/31/07,4/1/07,"4,100",GB,UI,2,0,0
MONO,WALKER,4/6/07,4/8/07,901,,UI,0,0,0
INYO,GOLDEN,4/14/07,4/15/07,"1,988",GB,UI,0,0,0
RIVERSIDE,RIVER DAY,4/28/07,4/29/07,488,BG,UNDET.,0,0,0
KERN,JAMES,4/29/07,5/3/07,"1,350",GB,UI,0,0,0
RIVERSIDE,DAWSON,5/8/07,5/9/07,990,GB,EQUIP. USE,0,0,0
LOS ANGELES,GRIFFITH PARK,5/8/07,5/11/07,817,BG,UI,1,0,0
LOS ANGELES,ISLAND,5/10/07,5/15/07,"4,750",,UI,10,0,0
KERN,WOFFORD,5/13/07,5/15/07,525,G,UI,2,0,0
YOLO,BRAYE,5/18/07,5/22/07,450,G,UNDET.,0,0,0
LOS ANGELES,GORMAN,5/19/07,5/22/07,"2,050",,UI,0,0,0
MADERA,HWY 41,5/20/07,5/20/07,338,G,UNDET.,0,0,0
BUTTE,HONEY,5/22/07,5/23/07,726,BW,MISC.,0,0,0
SHASTA,BOLLI,5/22/07,5/27/07,730,T,UI,0,0,0
TULARE,HORSE,5/28/07,5/30/07,410,G,ARSON,0,0,0
TULARE,SHANNON,6/3/07,6/4/07,"2,140",BG,EQUIP. USE,0,0,0
TULARE,GOLDLEDGE,6/3/07,6/28/07,"4,196",BG,UI,0,0,0
IMPERIAL MVU,INKOPAH,6/5/07,6/6/07,"1,500",B,UNDET.,0,0,0
