FireId|Organization|Unit|UnitIdentifier|FireName|FireNumber|FireCode|FireType|ProtectionType|StartTime|InitAttTime|ControlTime|ControlAcres|GeneralCause|Datum|Latitude|Longitude|Slope|Elevation|Aspect|MsgcModel|Owner|CompletionCode
457643|BIA|PAR|CANCA|MARTINS FE|6103||5|6|06/05/1972 20:00|||||||||||||Complete
457644|BIA|PAR|CANCA|PINE CREEK|6104||1|1|06/07/1972 11:30|06/07/1972 13:30|06/07/1972 23:59|148.0|6|NAD83|41.2498|-125.7512||0|0||02|Complete
457645|BIA|PAR|CANCA|CAL-PAC MI|6105||1|6|06/08/1972 15:15|06/08/1972 15:30|06/08/1972 16:00|1.0|9|||||0|0||06|Complete
457646|BIA|PAR|CANCA|DEAN DENNY|6106|J52A|1|1|06/21/1972 12:30|06/21/1972 12:35|06/21/1972 12:45|0.1|6|||||0|0||02|Complete
457647|BIA|PAR|CANCA|PAUL JAMES|6107||1|1|06/24/1972 00:01|06/24/1972 00:16|06/24/1972 00:20|0.1|9|NAD83|41.2498|-125.7512||0|0||02|Complete
457648|BIA|PAR|CANCA|STATE MAIN|6108||1|6|06/26/1972 17:30|06/26/1972 17:50|06/26/1972 19:00|1.0|9|NAD83|41.1998|-124.7179||0|0||07|Complete
457649|BIA|PAR|CANCA|KELLER|6109||1|1|06/27/1972 15:23|06/27/1972 15:32|06/27/1972 15:40|0.1|8|||||0|0||02|Complete
457650|BIA|PAR|CANCA|HAROLD CAM|6110||1|1|06/29/1972 14:53|06/29/1972 14:57|06/29/1972 15:10|0.1|9|||||0|0||02|Complete
457651|BIA|PAR|CANCA|MARSHALL L|6111||1|1|06/29/1972 20:06|06/29/1972 20:15|06/29/1972 20:15|0.1|8|||||0|0||02|Complete
457652|BIA|PAR|CANCA|ASSEMBLY O|6112||1|1|06/30/1972 01:03|06/30/1972 01:15|06/30/1972 01:25|0.1|9|||||0|0||02|Complete
457653|BIA|PAR|CANCA|ASSEM OF G|6113||1|1|06/30/1972 03:00|06/30/1972 03:10|06/30/1972 03:15|0.1|9|||||0|0||02|Complete
457654|BIA|PAR|CANCA|JORDANS ST|6114||1|1|07/01/1972 10:53|07/01/1972 10:59|07/01/1972 11:00|0.1|8|||||0|0||02|Complete
457655|BIA|PAR|CANCA|SHOEMAKER|6115||1|1|07/01/1972 11:08|07/01/1972 11:14|07/01/1972 11:16|0.1|9|||||0|0||02|Complete
457656|BIA|PAR|CANCA|UNION STAT|6116||1|1|07/04/1972 12:58|07/04/1972 13:06|07/04/1972 13:10|0.1|8|||||0|0||02|Complete
457657|BIA|PAR|CANCA|STANLEY FE|6117||1|6|07/04/1972 18:08|07/04/1972 18:14|07/04/1972 18:14|0.1|9|||||0|0||08|Complete
457658|BIA|PAR|CANCA|COURTHOUSE|6118||1|1|07/04/1972 19:01|07/04/1972 19:07|07/04/1972 19:17|0.1|8|||||0|0||02|Complete
457659|BIA|PAR|CANCA|POST OFFIC|6119||1|1|07/04/1972 22:05|07/04/1972 22:11|07/04/1972 22:15|0.1|9|||||0|0||02|Complete
